ranking,artist,album_title,release_date,sales

1,BLACKPINK,BLACKPINK - 1st FULL ALBUM [THE ALBUM],2020-10-06,"545,688"

2,NCT DREAM,NCT DREAM - Album Vol.1 [맛 (Hot Sauce)] (Photo Book Ver.) ,2021-05-10,"545,173"

3,BAEKHYUN,BAEKHYUN - Mini Album Vol.2 [Delight],2020-05-26,"525,172"

4,Seventeen,Seventeen - Mini Album Vol.7 [Heng : garae] ,2020-07-03,"514,315"

5,NCT,NCT - Album [The 2nd Album RESONANCE Pt.1],2020-10-13,"447,124"

6,BTS,BTS - Album [MAP OF THE SOUL : 7] ,2020-02-21,"425,003"

7,NCT,NCT - The 3rd Album [Universe] (JEWEL CASE Ver.),2021-12-14,"388,614"

8,LISA ,LISA - FIRST SINGLE ALBUM LALISA,2021-09-10,"372,351"

9,NCT DREAM,NCT DREAM - The 2nd Album [Glitch Mode] (Photobook Ver.),2022-03-28,"367,694"

10,BLACKPINK,Rosé - First Single Album -R-,2021-03-16,"357,190"

11,NCT DREAM,NCT DREAM - Repackage Album Vol.1 [Hello Future] (Photobook Ver.) ,2021-06-28,"327,683"

12,BTS,BTS - Mini Album Vol.6 [MAP OF THE SOUL : PERSONA] ,2019-04-12,"309,395"

13,BAEKHYUN,BAEKHYUN - Mini Album Vol.1 [City Lights],2019-07-11,"293,728"

14,GOT7,GOT7 - [GOT7] ,2022-05-23,"288,545"

15,NCT DREAM,NCT DREAM - The 2nd Album [Glitch Mode] (Digipack Ver.),2022-03-28,"287,038"

16,NCT DREAM,NCT DREAM - Album Vol.1 [맛 (Hot Sauce)] (Jewel Case Ver.),2021-05-17,"271,609"

17,NCT DREAM,NCT DREAM - The 2nd Album Repackage [Beatbox] (Digipack Ver.),2022-05-30,"271,003"

18,Seventeen,Seventeen - Special Album [Semicolon] ,2020-10-19,"270,528"

19,KANG DANIEL,KANG DANIEL - Mini Album Vol.3 [YELLOW],2021-04-13,"248,540"

20,KANG DANIEL,KANG DANIEL - Mini Album Vol.2 [MAGENTA] ,2020-08-04,"240,594"

21,NCT,NCT - The 3rd Album [Universe] (PHOTOBOOK Ver.),2021-12-14,"224,755"

22,NCT,NCT 127 - Album Vol.2 [NCT #127 Neo Zone] ,2020-03-07,"224,247"

23,KANG DANIEL,KANG DANIEL - Special Album [color on me],2019-07-29,"222,694"

24,EXO,EXO - Special Album [DON’T FIGHT THE FEELING] (Expansion Ver.),2021-06-07,"220,470"

25,EXO,EXO-SC - Album Vol.1 [1 Billion Views],2020-07-14,"210,975"

26,Seventeen,SEVENTEEN - 8th Mini Album [Your Choice],2021-06-18,"209,020"

27,NCT,NCT - Album Vol.2 [The 2nd Album RESONANCE Pt.2] (Departure Ver.),2020-12-04,"208,299"

28,BTS,BTS - Repackage Album [LOVE YOURSELF 結 ‘Answer’],2018-08-24,"206,390"

29,Seventeen,SEVENTEEN - 4TH ALBUM [Face the Sun],2022-05-27,"205,824"

30,NCT,NCT 127 - Repackage Album Vol.2 [NCT #127 Neo Zone: The Final Round] ,2020-05-20,"203,614"

31,NCT 127,NCT 127 - The 3rd Album Repackage [Favorite] ,2021-10-25,"193,312"

32,SUPER JUNIOR,Super Junior - Album Vol.9 [Time_Slip] ,2019-10-15,"187,393"

33,Seventeen,Seventeen - Album Vol.3 [An Ode]   ,2019-09-17,"183,614"

34,BTS,BTS - Album Vol.3 [LOVE YOURSELF 轉 'Tear']  ,2018-05-18,"180,355"

35,NCT DREAM,NCT DREAM - The 2nd Album Repackage [Beatbox] (Photobook Ver.),2022-05-30,"179,376"

36,NCT 127,NCT 127 - The 3rd Album [Sticker] (Sticky Ver.),2021-09-17,"177,435"

37,NCT,NCT - Album Vol.2 [The 2nd Album RESONANCE Pt.2] (Arrival Ver.),2020-12-01,"173,016"

38,BTS,BTS - Album [Butter],2021-07-09,"160,968"

39,KANG DANIEL,KANG DANIEL - Mini Album Vol.1 [CYAN],2020-03-24,"160,337"

40,NCT 127,NCT 127 - The 3rd Album [Sticker] (Seoul City Ver.),2021-09-17,"158,829"

41,Young Woong Lim,Young Woong Lim - 1ST ALBUM [IM HERO] (Jewel Case Ver.),2022-05-02,"158,099"

42,NCT,NCT DREAM - Album [Reload],2020-04-29,"157,152"

43,EXO,EXO - Album Vol.5 [DON'T MESS UP MY TEMPO],2018-11-02,"156,243"

44,BAEKHYUN,BAEKHYUN - Mini Album Vol.3 [Bambi] (Jewel Case Ver.),2021-03-30,"153,614"

45,Red Velvet,Red Velvet - Mini Album [The ReVe Festival 2022 - Feel My Rhythm] (ReVe Ver.),2022-03-21,"151,653"

46,NCT 127,NCT 127 - The 3rd Album [Sticker] (Sticker Ver.),2021-09-17,"150,755"

47,BTS,BTS - Album [BE (Deluxe Edition)] ,2020-11-20,"147,297"

48,NCT DREAM,NCT DREAM - Repackage Album Vol.1 [Hello Future] (KIT ALBUM),2021-07-05,"147,196"

49,TREASURE,TREASURE - 1st ALBUM [THE FIRST STEP : TREASURE EFFECT] ,2021-01-12,"147,062"

50,TREASURE,TREASURE - SINGLE ALBUM Vol.1 [THE FIRST STEP : CHAPTER ONE],2020-08-13,"146,070"

51,SUPER JUNIOR D&E,Super Junior D&E - Mini Album Vol.4 [BAD BLOOD] ,2020-09-04,"142,630"

52,BAEKHYUN,BAEKHYUN - Mini Album Vol.3 [Bambi] (Photo Book Ver.),2021-03-30,"142,049"

53,NCT DREAM,NCT DREAM - Mini Album Vol.3 [We Boom],2019-07-30,"141,991"

54,EXO,EXO-SC - Mini Album Vol.1 [What a life],2019-07-23,"140,809"

55,Young Woong Lim,Young Woong Lim - 1ST ALBUM [IM HERO] (Digipack Ver.),2022-05-02,"140,549"

56,BLACKPINK,BLACKPINK - SPECIAL EDITION [How You Like That],2020-07-17,"138,333"

57,TREASURE,TREASURE - 1st MINI ALBUM [THE SECOND STEP : CHAPTER ONE] (DIGIPACK Ver.),2022-02-15,"137,950"

58,TWICE,TWICE - Full Album Vol.3 [Formula of Love: O+T=<3] ,2021-11-12,"137,377"

59,Seventeen,SEVENTEEN - 4TH ALBUM [Face the Sun] (CARAT Ver.),2022-05-27,"136,957"

60,D.O. ,D.O. - Mini Album Vol.1 [공감] (Digipack Ver.),2021-07-26,"136,954"

61,Seventeen,Seventeen - 9th Mini Album [Attacca],2021-10-22,"135,414"

62,GOT7,GOT7 - Mini Album [DYE] ,2020-04-21,"134,965"

63,KANG DANIEL,KANG DANIEL - 1st Full Album [The Story] (Platform Ver.),2022-05-24,"133,137"

64,BLACKPINK,BLACKPINK - Mini Album Vol.2 [KILL THIS LOVE],2019-04-23,"132,854"

65,TREASURE,TREASURE - 1st MINI ALBUM [THE SECOND STEP : CHAPTER ONE] (PHOTOBOOK Ver.),2022-02-15,"126,582"

66,IU,IU - Mini Album Vol.5 [Love poem],2019-11-20,"121,280"

67,EXO,EXO - Album Vol.6 [OBSESSION],2019-11-28,"121,233"

68,TREASURE,TREASURE - Single Album Vol.3 [THE FIRST STEP : CHAPTER THREE] ,2020-11-13,"119,623"

69,TWICE,TWICE - Mini Album Vol.9 [MORE & MORE],2020-06-02,"118,845"

70,EXO,EXO - Special Album [DON’T FIGHT THE FEELING] (Photo Book Ver.2),2021-06-07,"118,820"

71,EXO,EXO - Special Album [DON’T FIGHT THE FEELING] (Photo Book Ver.1) ,2021-06-07,"115,997"

72,GOT7,GOT7 - Album Vol.3 [Present : YOU],2018-09-18,"115,189"

73,EXO,EXO - Album Vol.4 [THE WAR] (Korean Ver.),2017-07-19,"114,661"

74,TREASURE,TREASURE - 2nd SINGLE ALBUM [THE FIRST STEP : CHAPTER TWO] ,2020-09-22,"114,421"

75,Seventeen,Seventeen - 9th Mini Album [Attacca] (CARAT Ver.) ,2021-10-29,"113,323"

76,NCT 127,NCT 127 - The 3rd Album [Sticker] (Jewel Case Ver.),2021-09-24,"109,438"

77,Red Velvet,Red Velvet - Mini Album [The ReVe Festival 2022 - Feel My Rhythm] (Orgel Ver.),2022-03-21,"108,058"

78,EXO,SUHO - Mini Album Vol.1 [Self-Portrait],2020-03-31,"107,908"

79,SUPER JUNIOR,SUPER JUNIOR - Album Vol.10 [The Renaissance] (The Renaissance Style) ,2021-03-16,"105,302"

80,BTS,BTS - Mini Album Vol.5 [LOVE YOURSELF 承 Her],2017-09-19,"104,774"

81,NCT 127,NCT 127 - The 3rd Album Repackage [Favorite] (Kit Ver.),2021-10-29,"103,405"

82,SUPER JUNIOR,SUPER JUNIOR - Album Vol.10 [The Renaissance] (SQUARE Style) ,2021-03-16,"103,384"

83,EXO,EXO - Album Vol.2 EXODUS (Korean Ver.),2015-03-31,"103,226"

84,WayV,WayV - Mini Album Vol.3 [Kick Back] ,2021-03-10,"102,380"

85,EXO,EXO - Special Album [DON’T FIGHT THE FEELING] (Jewel Case Ver.),2021-06-07,"100,518"

86,GOT7,GOT7 - Album Vol.4 [Breath of Love : Last Piece] ,2020-12-01,"99,935"

87,WINNER,WINNER - Full Album Vol.3 [Remember] ,2020-04-10,"97,265"

88,BAEKHYUN,BAEKHYUN - Mini Album Vol.2 [Delight] (Chemisty Ver.),2020-06-29,"96,727"

89,IVE,IVE - The 2nd Single Album [LOVE DIVE],2022-04-05,"96,449"

90,NCT,NCT - Kit Album [The 2nd Album RESONANCE Pt.2] ,2020-12-15,"95,444"

91,GOT7,GOT7 - Album [SPINNING TOP] ,2019-05-21,"91,181"

92,Stray Kids,Stray Kids - Mini Album [ODDINARY],2022-03-18,"90,783"

93,TWICE,TWICE - Mini Album Vol.10 [Taste of Love],2021-06-11,"90,389"

94,GOT7,GOT7 - Mini Album Vol.8 [Eyes On You]  ,2018-03-13,"89,895"

95,TAEYEON,TAEYEON - Album Vol.2 [Purpose],2019-10-28,"88,230"

96,IZ*ONE,IZ*ONE - Album Vol.1 [BLOOM*IZ],2020-02-18,"87,069"

97,IU,IU - Album Vol.5 [LILAC],2021-03-26,"86,915"

98,NCT,NCT - Kit Album [The 2nd Album RESONANCE Pt.1] ,2020-10-28,"84,969"

99,IZ*ONE,IZ*ONE - Mini Album Vol.4 [One-reeler / Act IV] ,2020-12-08,"84,517"

100,GOT7,GOT7 - Mini Album [GOT7 MINI ALBUM] ,2019-11-05,"83,965"

